Date,Day ,Month,Year,Quarter,Open,High,Low,Close,Volume
01-02-1994,Tuesday,February,1994,Q1,0.248853,0.252706,0.243126,0.250631,185584570.5
02-02-1994,Wednesday,February,1994,Q1,0.250631,0.250631,0.244933,0.248853,173422712
03-02-1994,Thursday,February,1994,Q1,0.248853,0.253327,0.244933,0.252706,163409383.6
04-02-1994,Friday,February,1994,Q1,0.252706,0.263906,0.250631,0.252706,419206543.1
07-02-1994,Monday,February,1994,Q1,0.252706,0.279885,0.252706,0.275056,859049775.1
08-02-1994,Tuesday,February,1994,Q1,0.271471,0.275056,0.265732,0.269663,337946163.4
09-02-1994,Wednesday,February,1994,Q1,0.269663,0.275056,0.265732,0.27322,221420274.9
10-02-1994,Thursday,February,1994,Q1,0.27322,0.282909,0.271471,0.275056,357654427.4
11-02-1994,Friday,February,1994,Q1,0.27322,0.282909,0.27322,0.278937,194497086.6
14-02-1994,Monday,February,1994,Q1,0.278937,0.286542,0.27715,0.278937,290770812.6
15-02-1994,Tuesday,February,1994,Q1,0.27715,0.282909,0.27322,0.279885,153674620.9
16-02-1994,Wednesday,February,1994,Q1,0.282909,0.282909,0.27715,0.27715,144496829.9
17-02-1994,Thursday,February,1994,Q1,0.280756,0.285633,0.27322,0.278937,171884286.7
18-02-1994,Friday,February,1994,Q1,0.275056,0.278937,0.27322,0.27322,176526161.5
22-02-1994,Tuesday,February,1994,Q1,0.27322,0.282909,0.269663,0.280756,254086284
23-02-1994,Wednesday,February,1994,Q1,0.280756,0.288281,0.278937,0.280756,308516275.7
24-02-1994,Thursday,February,1994,Q1,0.278937,0.280756,0.27322,0.275964,234298414.4
25-02-1994,Friday,February,1994,Q1,0.278937,0.280756,0.267787,0.271471,280439195.6
28-02-1994,Monday,February,1994,Q1,0.27322,0.278937,0.271471,0.275056,146632152.1
01-03-1994,Tuesday,March,1994,Q1,0.27715,0.27715,0.269663,0.27322,250889930.9
02-03-1994,Wednesday,March,1994,Q1,0.265732,0.27322,0.262078,0.268448,348317552.8
03-03-1994,Thursday,March,1994,Q1,0.269663,0.27322,0.267787,0.269663,223184307
04-03-1994,Friday,March,1994,Q1,0.271471,0.282909,0.269663,0.27715,268622181.1
07-03-1994,Monday,March,1994,Q1,0.278937,0.287392,0.27715,0.285633,367561662.7
08-03-1994,Tuesday,March,1994,Q1,0.286542,0.286542,0.27715,0.278937,220319546.6
09-03-1994,Wednesday,March,1994,Q1,0.275964,0.282909,0.271471,0.282909,294311976.3
10-03-1994,Thursday,March,1994,Q1,0.280756,0.28348,0.27715,0.280756,170239646.8
11-03-1994,Friday,March,1994,Q1,0.278937,0.284705,0.27715,0.280756,191645638.4
14-03-1994,Monday,March,1994,Q1,0.290206,0.290206,0.284705,0.287392,523053267.6
15-03-1994,Tuesday,March,1994,Q1,0.288281,0.288281,0.280756,0.28348,242216166.7
16-03-1994,Wednesday,March,1994,Q1,0.282909,0.284705,0.275056,0.27715,174271494.8
17-03-1994,Thursday,March,1994,Q1,0.27715,0.278937,0.27322,0.275056,185001047.5
18-03-1994,Friday,March,1994,Q1,0.27715,0.27715,0.269663,0.274512,264868777.5
21-03-1994,Monday,March,1994,Q1,0.274512,0.275056,0.265732,0.267787,291911425.7
22-03-1994,Tuesday,March,1994,Q1,0.265732,0.267787,0.259944,0.263906,287547944.6
